"idSwarm","id","cpuPercentage","algorithm","req","runtime"
"pc1","us-central1-a",0.06,"stine",2,17.23
"pc1","us-central1-a",0.06,"stine",4,17.33
"pc1","us-central1-a",0.06,"stine",1,17.33
"pc1","us-central1-a",0.06,"stine",3,17.43
"pc1","us-central1-a",0.06,"stine",1,17.46
"pc1","us-central1-a",0.06,"stine",2,17.46
"pc1","us-central1-a",0.06,"stine",4,17.55
"pc1","us-central1-a",0.06,"stine",3,17.75
"pc1","us-central1-a",0.06,"stine",4,17.59
"pc1","us-central1-a",0.06,"stine",1,17.59
"pc1","us-central1-a",0.06,"stine",3,17.69
"pc1","us-central1-a",0.06,"stine",2,17.69
"pc1","us-central1-a",0.06,"stine",2,17.61
"pc1","us-central1-a",0.06,"stine",3,17.69
"pc1","us-central1-a",0.06,"stine",4,17.84
"pc1","us-central1-a",0.06,"stine",1,17.84
"pc1","us-central1-a",0.06,"stine",2,17.26
"pc1","us-central1-a",0.06,"stine",4,17.34
"pc1","us-central1-a",0.06,"stine",3,17.65
"pc1","us-central1-a",0.06,"stine",1,17.78
"pc1","us-central1-a",0.06,"stine",1,17.36
"pc1","us-central1-a",0.06,"stine",4,17.54
"pc1","us-central1-a",0.06,"stine",2,17.65
"pc1","us-central1-a",0.06,"stine",3,17.85
"pc1","us-central1-a",0.06,"stine",4,17.42
"pc1","us-central1-a",0.06,"stine",3,18.06
"pc1","us-central1-a",0.06,"stine",1,18.06
"pc1","us-central1-a",0.06,"stine",2,18.24
"pc1","us-central1-a",0.06,"stine",3,18.11
"pc1","us-central1-a",0.06,"stine",1,18.21
"pc1","us-central1-a",0.06,"stine",2,18.21
"pc1","us-central1-a",0.06,"stine",4,18.29
"pc1","us-central1-a",0.06,"stine",1,17.32
"pc1","us-central1-a",0.06,"stine",4,17.32
"pc1","us-central1-a",0.06,"stine",2,17.87
"pc1","us-central1-a",0.06,"stine",3,18.14
"pc1","us-central1-a",0.06,"stine",3,16.84
"pc1","us-central1-a",0.06,"stine",4,17.04
"pc1","us-central1-a",0.06,"stine",2,17.95
"pc1","us-central1-a",0.06,"stine",1,18.66
"pc1","us-central1-a",0.06,"stine",3,17.62
"pc1","us-central1-a",0.06,"stine",2,17.73
"pc1","us-central1-a",0.06,"stine",1,18.04
"pc1","us-central1-a",0.06,"stine",4,18.04
"pc1","us-central1-a",0.06,"stine",4,17.41
"pc1","us-central1-a",0.06,"stine",2,17.55
"pc1","us-central1-a",0.06,"stine",3,17.91
"pc1","us-central1-a",0.06,"stine",1,17.97
"pc1","us-central1-a",0.06,"stine",4,17.44
"pc1","us-central1-a",0.06,"stine",1,17.95
"pc1","us-central1-a",0.06,"stine",3,17.95
"pc1","us-central1-a",0.06,"stine",2,18.05
"pc1","us-central1-a",0.06,"stine",3,17.56
"pc1","us-central1-a",0.06,"stine",2,17.56
"pc1","us-central1-a",0.06,"stine",4,17.56
"pc1","us-central1-a",0.06,"stine",1,17.68
"pc1","us-central1-a",0.06,"stine",2,17.41
"pc1","us-central1-a",0.06,"stine",4,18.26
"pc1","us-central1-a",0.06,"stine",1,18.26
"pc1","us-central1-a",0.06,"stine",3,18.51
"pc1","us-central1-a",0.06,"stine",2,17.55
"pc1","us-central1-a",0.06,"stine",1,17.67
"pc1","us-central1-a",0.06,"stine",4,17.84
"pc1","us-central1-a",0.06,"stine",3,17.95
"pc1","us-central1-a",0.07,"stine",1,17.36
"pc1","us-central1-a",0.07,"stine",2,17.36
"pc1","us-central1-a",0.07,"stine",3,17.65
"pc1","us-central1-a",0.07,"stine",4,18.04
"pc1","us-central1-a",0.07,"stine",4,17.23
"pc1","us-central1-a",0.07,"stine",3,17.43
"pc1","us-central1-a",0.07,"stine",1,17.55
"pc1","us-central1-a",0.07,"stine",2,17.64
"pc1","us-central1-a",0.07,"stine",2,15.54
"pc1","us-central1-a",0.07,"stine",4,15.54
"pc1","us-central1-a",0.07,"stine",3,15.77
"pc1","us-central1-a",0.07,"stine",1,15.77
"pc1","us-central1-a",0.07,"stine",2,15.18
"pc1","us-central1-a",0.07,"stine",3,15.26
"pc1","us-central1-a",0.07,"stine",4,15.46
"pc1","us-central1-a",0.07,"stine",1,15.49
"pc1","us-central1-a",0.07,"stine",1,15.58
"pc1","us-central1-a",0.07,"stine",2,15.58
"pc1","us-central1-a",0.07,"stine",3,15.58
"pc1","us-central1-a",0.07,"stine",4,15.58
"pc1","us-central1-a",0.07,"stine",2,15.16
"pc1","us-central1-a",0.07,"stine",3,15.25
"pc1","us-central1-a",0.07,"stine",1,15.25
"pc1","us-central1-a",0.07,"stine",4,15.33
"pc1","us-central1-a",0.07,"stine",4,15.49
"pc1","us-central1-a",0.07,"stine",1,15.49
"pc1","us-central1-a",0.07,"stine",3,15.97
"pc1","us-central1-a",0.07,"stine",2,16.21
"pc1","us-central1-a",0.07,"stine",1,15.46
"pc1","us-central1-a",0.07,"stine",4,15.46
"pc1","us-central1-a",0.07,"stine",2,15.46
"pc1","us-central1-a",0.07,"stine",3,15.68
"pc1","us-central1-a",0.07,"stine",3,15.44
"pc1","us-central1-a",0.07,"stine",2,15.54
"pc1","us-central1-a",0.07,"stine",4,15.54
"pc1","us-central1-a",0.07,"stine",1,15.73
"pc1","us-central1-a",0.07,"stine",3,15.68
"pc1","us-central1-a",0.07,"stine",2,15.69
"pc1","us-central1-a",0.07,"stine",1,15.69
"pc1","us-central1-a",0.07,"stine",4,15.77
"pc1","us-central1-a",0.07,"stine",1,15.83
"pc1","us-central1-a",0.07,"stine",2,15.91
"pc1","us-central1-a",0.07,"stine",3,15.91
"pc1","us-central1-a",0.07,"stine",4,16
"pc1","us-central1-a",0.07,"stine",3,15.54
"pc1","us-central1-a",0.07,"stine",4,15.67
"pc1","us-central1-a",0.07,"stine",1,15.67
"pc1","us-central1-a",0.07,"stine",2,16.16
"pc1","us-central1-a",0.07,"stine",2,15.4
"pc1","us-central1-a",0.07,"stine",1,15.68
"pc1","us-central1-a",0.07,"stine",4,15.68
"pc1","us-central1-a",0.07,"stine",3,15.68
"pc1","us-central1-a",0.07,"stine",1,15.56
"pc1","us-central1-a",0.07,"stine",2,15.56
"pc1","us-central1-a",0.07,"stine",4,15.63
"pc1","us-central1-a",0.07,"stine",3,16.24
"pc1","us-central1-a",0.07,"stine",2,15.55
"pc1","us-central1-a",0.07,"stine",4,15.8
"pc1","us-central1-a",0.07,"stine",1,15.97
"pc1","us-central1-a",0.07,"stine",3,15.97
"pc1","us-central1-a",0.07,"stine",2,15.53
"pc1","us-central1-a",0.07,"stine",4,15.53
"pc1","us-central1-a",0.07,"stine",3,15.64
"pc1","us-central1-a",0.07,"stine",1,15.75
"pc1","us-central1-a",0.07,"stine",3,15.45
"pc1","us-central1-a",0.07,"stine",2,15.45
"pc1","us-central1-a",0.07,"stine",4,15.45
"pc1","us-central1-a",0.07,"stine",1,15.67
"pc1","us-central1-a",0.07,"stine",4,15.34
"pc1","us-central1-a",0.07,"stine",2,15.66
"pc1","us-central1-a",0.07,"stine",3,15.66
"pc1","us-central1-a",0.07,"stine",1,16.35
"pc1","us-central1-a",0.07,"stine",1,15.95
"pc1","us-central1-a",0.07,"stine",3,16.04
"pc1","us-central1-a",0.07,"stine",4,16.04
"pc1","us-central1-a",0.07,"stine",2,16.15
"pc1","us-central1-a",0.07,"stine",2,15.59
"pc1","us-central1-a",0.07,"stine",3,15.96
"pc1","us-central1-a",0.07,"stine",4,15.96
"pc1","us-central1-a",0.07,"stine",1,16.56
"pc1","us-central1-a",0.07,"stine",3,15.86
"pc1","us-central1-a",0.07,"stine",4,15.97
"pc1","us-central1-a",0.07,"stine",1,15.97
"pc1","us-central1-a",0.07,"stine",2,15.97
"pc1","us-central1-a",0.07,"stine",1,15.72
"pc1","us-central1-a",0.07,"stine",2,15.72
"pc1","us-central1-a",0.07,"stine",4,15.8
"pc1","us-central1-a",0.07,"stine",3,15.8
"pc1","us-central1-a",0.07,"stine",3,15.34
"pc1","us-central1-a",0.07,"stine",2,15.44
"pc1","us-central1-a",0.07,"stine",4,15.96
"pc1","us-central1-a",0.07,"stine",1,15.96
"pc1","us-central1-a",0.07,"stine",2,15.35
"pc1","us-central1-a",0.07,"stine",4,15.52
"pc1","us-central1-a",0.07,"stine",3,15.93
"pc1","us-central1-a",0.07,"stine",1,16.16
"pc1","us-central1-a",0.07,"stine",2,15.24
"pc1","us-central1-a",0.07,"stine",1,15.33
"pc1","us-central1-a",0.07,"stine",3,15.33
"pc1","us-central1-a",0.07,"stine",4,15.42
"pc1","us-central1-a",0.07,"stine",2,15.22
"pc1","us-central1-a",0.07,"stine",4,15.4
"pc1","us-central1-a",0.07,"stine",1,15.5
"pc1","us-central1-a",0.07,"stine",3,16.31
"pc1","us-central1-a",0.07,"stine",4,15.6
"pc1","us-central1-a",0.07,"stine",2,15.71
"pc1","us-central1-a",0.07,"stine",3,15.71
"pc1","us-central1-a",0.07,"stine",1,15.71
"pc1","us-central1-a",0.07,"stine",2,15.66
"pc1","us-central1-a",0.07,"stine",1,15.65
"pc1","us-central1-a",0.07,"stine",3,15.65
"pc1","us-central1-a",0.07,"stine",4,15.65
"pc1","us-central1-a",0.07,"stine",3,16.04
"pc1","us-central1-a",0.07,"stine",2,16.04
"pc1","us-central1-a",0.07,"stine",1,16.04
"pc1","us-central1-a",0.07,"stine",4,16.13
"pc1","us-central1-a",0.07,"stine",4,15.74
"pc1","us-central1-a",0.07,"stine",2,15.85
"pc1","us-central1-a",0.07,"stine",1,16.15
"pc1","us-central1-a",0.07,"stine",3,16.24
"pc1","us-central1-a",0.08,"stine",1,15.37
"pc1","us-central1-a",0.08,"stine",4,15.45
"pc1","us-central1-a",0.08,"stine",2,15.66
"pc1","us-central1-a",0.08,"stine",3,15.85
"pc1","us-central1-a",0.08,"stine",1,15.97
"pc1","us-central1-a",0.08,"stine",3,15.97
"pc1","us-central1-a",0.08,"stine",2,16.13
"pc1","us-central1-a",0.08,"stine",4,16.17
"pc1","us-central1-a",0.08,"stine",2,14.19
"pc1","us-central1-a",0.08,"stine",1,14.39
"pc1","us-central1-a",0.08,"stine",3,14.39
"pc1","us-central1-a",0.08,"stine",4,14.39
"pc1","us-central1-a",0.08,"stine",2,14.13
"pc1","us-central1-a",0.08,"stine",4,14.22
"pc1","us-central1-a",0.08,"stine",1,14.42
"pc1","us-central1-a",0.08,"stine",3,14.42
"pc1","us-central1-a",0.08,"stine",2,13.96
"pc1","us-central1-a",0.08,"stine",4,14.25
"pc1","us-central1-a",0.08,"stine",3,14.25
"pc1","us-central1-a",0.08,"stine",1,14.25
"pc1","us-central1-a",0.08,"stine",1,14.05
"pc1","us-central1-a",0.08,"stine",2,14.05
"pc1","us-central1-a",0.08,"stine",4,14.04
"pc1","us-central1-a",0.08,"stine",3,14.14
"pc1","us-central1-a",0.08,"stine",3,14.03
"pc1","us-central1-a",0.08,"stine",2,14.12
"pc1","us-central1-a",0.08,"stine",1,14.22
"pc1","us-central1-a",0.08,"stine",4,14.32
"pc1","us-central1-a",0.08,"stine",3,13.98
"pc1","us-central1-a",0.08,"stine",1,14.09
"pc1","us-central1-a",0.08,"stine",2,14.17
"pc1","us-central1-a",0.08,"stine",4,14.16
"pc1","us-central1-a",0.08,"stine",3,14.15
"pc1","us-central1-a",0.08,"stine",2,14.15
"pc1","us-central1-a",0.08,"stine",4,14.15
"pc1","us-central1-a",0.08,"stine",1,14.35
"pc1","us-central1-a",0.08,"stine",2,14.04
"pc1","us-central1-a",0.08,"stine",3,14.04
"pc1","us-central1-a",0.08,"stine",4,14.04
"pc1","us-central1-a",0.08,"stine",1,14.19
"pc1","us-central1-a",0.08,"stine",4,14.07
"pc1","us-central1-a",0.08,"stine",3,14.05
"pc1","us-central1-a",0.08,"stine",2,14.07
"pc1","us-central1-a",0.08,"stine",1,14.07
"pc1","us-central1-a",0.08,"stine",4,14.31
"pc1","us-central1-a",0.08,"stine",2,14.31
"pc1","us-central1-a",0.08,"stine",1,14.31
"pc1","us-central1-a",0.08,"stine",3,14.35
"pc1","us-central1-a",0.08,"stine",1,14.26
"pc1","us-central1-a",0.08,"stine",2,14.26
"pc1","us-central1-a",0.08,"stine",3,14.42
"pc1","us-central1-a",0.08,"stine",4,14.51
"pc1","us-central1-a",0.08,"stine",2,14.14
"pc1","us-central1-a",0.08,"stine",4,14.14
"pc1","us-central1-a",0.08,"stine",1,14.21
"pc1","us-central1-a",0.08,"stine",3,14.65
"pc1","us-central1-a",0.08,"stine",1,13.96
"pc1","us-central1-a",0.08,"stine",2,14.34
"pc1","us-central1-a",0.08,"stine",4,14.52
"pc1","us-central1-a",0.08,"stine",3,14.53
"pc1","us-central1-a",0.08,"stine",2,13.34
"pc1","us-central1-a",0.08,"stine",4,13.83
"pc1","us-central1-a",0.08,"stine",1,14.14
"pc1","us-central1-a",0.08,"stine",3,14.74
"pc1","us-central1-a",0.08,"stine",3,14.08
"pc1","us-central1-a",0.08,"stine",4,14.28
"pc1","us-central1-a",0.08,"stine",1,14.38
"pc1","us-central1-a",0.08,"stine",2,14.47
"pc1","us-central1-a",0.08,"stine",2,13.88
"pc1","us-central1-a",0.08,"stine",4,14.29
"pc1","us-central1-a",0.08,"stine",1,14.29
"pc1","us-central1-a",0.08,"stine",3,14.37
"pc1","us-central1-a",0.08,"stine",1,14.18
"pc1","us-central1-a",0.08,"stine",2,14.26
"pc1","us-central1-a",0.08,"stine",3,14.35
"pc1","us-central1-a",0.08,"stine",4,14.35
"pc1","us-central1-a",0.08,"stine",1,14.25
"pc1","us-central1-a",0.08,"stine",4,14.25
"pc1","us-central1-a",0.08,"stine",3,14.36
"pc1","us-central1-a",0.08,"stine",2,14.37
"pc1","us-central1-a",0.08,"stine",1,13.99
"pc1","us-central1-a",0.08,"stine",4,14.05
"pc1","us-central1-a",0.08,"stine",3,14.05
"pc1","us-central1-a",0.08,"stine",2,14.15
"pc1","us-central1-a",0.08,"stine",3,13.98
"pc1","us-central1-a",0.08,"stine",1,13.98
"pc1","us-central1-a",0.08,"stine",4,14.27
"pc1","us-central1-a",0.08,"stine",2,14.42
"pc1","us-central1-a",0.08,"stine",2,14.35
"pc1","us-central1-a",0.08,"stine",1,14.35
"pc1","us-central1-a",0.08,"stine",4,14.44
"pc1","us-central1-a",0.08,"stine",3,14.44
"pc1","us-central1-a",0.08,"stine",3,14.52
"pc1","us-central1-a",0.08,"stine",1,14.62
"pc1","us-central1-a",0.08,"stine",2,14.62
"pc1","us-central1-a",0.08,"stine",4,14.72
"pc1","us-central1-a",0.08,"stine",2,14.39
"pc1","us-central1-a",0.08,"stine",3,14.39
"pc1","us-central1-a",0.08,"stine",1,14.5
"pc1","us-central1-a",0.08,"stine",4,14.5
"pc1","us-central1-a",0.08,"stine",3,14.15
"pc1","us-central1-a",0.08,"stine",2,14.25
"pc1","us-central1-a",0.08,"stine",4,14.25
"pc1","us-central1-a",0.08,"stine",1,14.37
"pc1","us-central1-a",0.08,"stine",4,13.7
"pc1","us-central1-a",0.08,"stine",3,14
"pc1","us-central1-a",0.08,"stine",1,14.54
"pc1","us-central1-a",0.08,"stine",2,14.83
"pc1","us-central1-a",0.08,"stine",2,13.74
"pc1","us-central1-a",0.08,"stine",3,13.94
"pc1","us-central1-a",0.08,"stine",1,14.14
"pc1","us-central1-a",0.08,"stine",4,14.14
"pc1","us-central1-a",0.08,"stine",3,13.91
"pc1","us-central1-a",0.08,"stine",1,13.91
"pc1","us-central1-a",0.08,"stine",4,14.2
"pc1","us-central1-a",0.08,"stine",2,14.32
"pc1","us-central1-a",0.08,"stine",1,13.69
"pc1","us-central1-a",0.08,"stine",2,13.88
"pc1","us-central1-a",0.08,"stine",3,14.47
"pc1","us-central1-a",0.08,"stine",4,14.47
"pc1","us-central1-a",0.09,"stine",4,13.22
"pc1","us-central1-a",0.09,"stine",3,13.33
"pc1","us-central1-a",0.09,"stine",1,13.44
"pc1","us-central1-a",0.09,"stine",2,13.54
"pc1","us-central1-a",0.09,"stine",4,12.97
"pc1","us-central1-a",0.09,"stine",2,12.99
"pc1","us-central1-a",0.09,"stine",1,13.29
"pc1","us-central1-a",0.09,"stine",3,13.67
"pc1","us-central1-a",0.09,"stine",1,11.58
"pc1","us-central1-a",0.09,"stine",4,11.58
"pc1","us-central1-a",0.09,"stine",3,11.82
"pc1","us-central1-a",0.09,"stine",2,11.94
"pc1","us-central1-a",0.09,"stine",2,11.64
"pc1","us-central1-a",0.09,"stine",4,11.64
"pc1","us-central1-a",0.09,"stine",1,11.76
"pc1","us-central1-a",0.09,"stine",3,11.75
"pc1","us-central1-a",0.09,"stine",4,11.64
"pc1","us-central1-a",0.09,"stine",3,11.77
"pc1","us-central1-a",0.09,"stine",1,11.77
"pc1","us-central1-a",0.09,"stine",2,11.88
"pc1","us-central1-a",0.09,"stine",1,11.53
"pc1","us-central1-a",0.09,"stine",3,11.71
"pc1","us-central1-a",0.09,"stine",4,11.81
"pc1","us-central1-a",0.09,"stine",2,12.03
"pc1","us-central1-a",0.09,"stine",1,11.57
"pc1","us-central1-a",0.09,"stine",3,11.65
"pc1","us-central1-a",0.09,"stine",4,11.65
"pc1","us-central1-a",0.09,"stine",2,11.76
"pc1","us-central1-a",0.09,"stine",2,11.78
"pc1","us-central1-a",0.09,"stine",3,11.78
"pc1","us-central1-a",0.09,"stine",4,11.95
"pc1","us-central1-a",0.09,"stine",1,11.99
"pc1","us-central1-a",0.09,"stine",2,11.97
"pc1","us-central1-a",0.09,"stine",1,11.97
"pc1","us-central1-a",0.09,"stine",3,11.97
"pc1","us-central1-a",0.09,"stine",4,11.97
"pc1","us-central1-a",0.09,"stine",1,11.82
"pc1","us-central1-a",0.09,"stine",2,12.21
"pc1","us-central1-a",0.09,"stine",3,12.32
"pc1","us-central1-a",0.09,"stine",4,12.52
"pc1","us-central1-a",0.09,"stine",3,11.35
"pc1","us-central1-a",0.09,"stine",1,12.08
"pc1","us-central1-a",0.09,"stine",4,12.14
"pc1","us-central1-a",0.09,"stine",2,13.16
"pc1","us-central1-a",0.09,"stine",4,11.88
"pc1","us-central1-a",0.09,"stine",2,11.99
"pc1","us-central1-a",0.09,"stine",1,12.09
"pc1","us-central1-a",0.09,"stine",3,12.09
"pc1","us-central1-a",0.09,"stine",2,11.92
"pc1","us-central1-a",0.09,"stine",4,11.95
"pc1","us-central1-a",0.09,"stine",1,11.95
"pc1","us-central1-a",0.09,"stine",3,12.02
"pc1","us-central1-a",0.09,"stine",3,11.75
"pc1","us-central1-a",0.09,"stine",2,11.96
"pc1","us-central1-a",0.09,"stine",1,12.06
"pc1","us-central1-a",0.09,"stine",4,12.06
"pc1","us-central1-a",0.09,"stine",2,11.65
"pc1","us-central1-a",0.09,"stine",1,11.76
"pc1","us-central1-a",0.09,"stine",3,11.84
"pc1","us-central1-a",0.09,"stine",4,11.84
"pc1","us-central1-a",0.09,"stine",2,11.93
"pc1","us-central1-a",0.09,"stine",1,11.93
"pc1","us-central1-a",0.09,"stine",4,12.31
"pc1","us-central1-a",0.09,"stine",3,12.55
"pc1","us-central1-a",0.09,"stine",1,11.81
"pc1","us-central1-a",0.09,"stine",3,11.81
"pc1","us-central1-a",0.09,"stine",4,12.01
"pc1","us-central1-a",0.09,"stine",2,12.12
"pc1","us-central1-a",0.09,"stine",2,11.57
"pc1","us-central1-a",0.09,"stine",1,12.17
"pc1","us-central1-a",0.09,"stine",3,12.36
"pc1","us-central1-a",0.09,"stine",4,12.91
"pc1","us-central1-a",0.09,"stine",3,11.54
"pc1","us-central1-a",0.09,"stine",1,11.94
"pc1","us-central1-a",0.09,"stine",2,11.95
"pc1","us-central1-a",0.09,"stine",4,12.54
"pc1","us-central1-a",0.09,"stine",2,11.75
"pc1","us-central1-a",0.09,"stine",1,11.87
"pc1","us-central1-a",0.09,"stine",4,12.13
"pc1","us-central1-a",0.09,"stine",3,12.44
"pc1","us-central1-a",0.09,"stine",2,12.15
"pc1","us-central1-a",0.09,"stine",1,12.15
"pc1","us-central1-a",0.09,"stine",3,12.24
"pc1","us-central1-a",0.09,"stine",4,12.32
"pc1","us-central1-a",0.09,"stine",3,12.12
"pc1","us-central1-a",0.09,"stine",1,12.12
"pc1","us-central1-a",0.09,"stine",4,12.22
"pc1","us-central1-a",0.09,"stine",2,12.32
"pc1","us-central1-a",0.09,"stine",1,12.33
"pc1","us-central1-a",0.09,"stine",2,12.53
"pc1","us-central1-a",0.09,"stine",3,12.53
"pc1","us-central1-a",0.09,"stine",4,12.53
"pc1","us-central1-a",0.09,"stine",1,12.06
"pc1","us-central1-a",0.09,"stine",2,12.06
"pc1","us-central1-a",0.09,"stine",3,12.06
"pc1","us-central1-a",0.09,"stine",4,12.13
"pc1","us-central1-a",0.09,"stine",2,12.11
"pc1","us-central1-a",0.09,"stine",4,12.11
"pc1","us-central1-a",0.09,"stine",1,12.11
"pc1","us-central1-a",0.09,"stine",3,12.23
"pc1","us-central1-a",0.09,"stine",1,11.71
"pc1","us-central1-a",0.09,"stine",4,12.3
"pc1","us-central1-a",0.09,"stine",3,12.3
"pc1","us-central1-a",0.09,"stine",2,12.71
"pc1","us-central1-a",0.09,"stine",2,12.02
"pc1","us-central1-a",0.09,"stine",1,12.02
"pc1","us-central1-a",0.09,"stine",4,12.11
"pc1","us-central1-a",0.09,"stine",3,12.11
"pc1","us-central1-a",0.09,"stine",4,11.56
"pc1","us-central1-a",0.09,"stine",2,11.65
"pc1","us-central1-a",0.09,"stine",3,12.26
"pc1","us-central1-a",0.09,"stine",1,12.76
"pc1","us-central1-a",0.09,"stine",2,11.97
"pc1","us-central1-a",0.09,"stine",4,11.96
"pc1","us-central1-a",0.09,"stine",1,12.08
"pc1","us-central1-a",0.09,"stine",3,12.06
"pc1","us-central1-a",0.09,"stine",1,11.96
"pc1","us-central1-a",0.09,"stine",2,11.96
"pc1","us-central1-a",0.09,"stine",3,11.96
"pc1","us-central1-a",0.09,"stine",4,11.96
"pc1","us-central1-a",0.11,"stine",3,11.02
"pc1","us-central1-a",0.11,"stine",1,11.02
"pc1","us-central1-a",0.11,"stine",4,11.02
"pc1","us-central1-a",0.11,"stine",2,11.02
"pc1","us-central1-a",0.11,"stine",1,11.19
"pc1","us-central1-a",0.11,"stine",2,11.19
"pc1","us-central1-a",0.11,"stine",3,11.19
"pc1","us-central1-a",0.11,"stine",4,11.28
"pc1","us-central1-a",0.11,"stine",3,9.82
"pc1","us-central1-a",0.11,"stine",2,9.82
"pc1","us-central1-a",0.11,"stine",1,9.93
"pc1","us-central1-a",0.11,"stine",4,9.91
"pc1","us-central1-a",0.11,"stine",3,9.83
"pc1","us-central1-a",0.11,"stine",2,9.85
"pc1","us-central1-a",0.11,"stine",1,9.85
"pc1","us-central1-a",0.11,"stine",4,10.02
"pc1","us-central1-a",0.11,"stine",4,9.88
"pc1","us-central1-a",0.11,"stine",3,9.88
"pc1","us-central1-a",0.11,"stine",2,9.88
"pc1","us-central1-a",0.11,"stine",1,9.98
"pc1","us-central1-a",0.11,"stine",1,9.66
"pc1","us-central1-a",0.11,"stine",3,9.72
"pc1","us-central1-a",0.11,"stine",4,9.72
"pc1","us-central1-a",0.11,"stine",2,9.93
"pc1","us-central1-a",0.11,"stine",4,9.81
"pc1","us-central1-a",0.11,"stine",3,9.92
"pc1","us-central1-a",0.11,"stine",1,9.97
"pc1","us-central1-a",0.11,"stine",2,9.97
"pc1","us-central1-a",0.11,"stine",4,9.81
"pc1","us-central1-a",0.11,"stine",3,9.92
"pc1","us-central1-a",0.11,"stine",1,9.92
"pc1","us-central1-a",0.11,"stine",2,9.92
"pc1","us-central1-a",0.11,"stine",1,9.94
"pc1","us-central1-a",0.11,"stine",3,9.94
"pc1","us-central1-a",0.11,"stine",2,9.94
"pc1","us-central1-a",0.11,"stine",4,9.95
"pc1","us-central1-a",0.11,"stine",2,9.57
"pc1","us-central1-a",0.11,"stine",1,9.97
"pc1","us-central1-a",0.11,"stine",4,9.93
"pc1","us-central1-a",0.11,"stine",3,10.35
"pc1","us-central1-a",0.11,"stine",3,10.03
"pc1","us-central1-a",0.11,"stine",1,10.15
"pc1","us-central1-a",0.11,"stine",2,10.14
"pc1","us-central1-a",0.11,"stine",4,10.13
"pc1","us-central1-a",0.11,"stine",2,9.98
"pc1","us-central1-a",0.11,"stine",3,10.07
"pc1","us-central1-a",0.11,"stine",4,10.16
"pc1","us-central1-a",0.11,"stine",1,10.18
"pc1","us-central1-a",0.11,"stine",4,10.02
"pc1","us-central1-a",0.11,"stine",2,10.12
"pc1","us-central1-a",0.11,"stine",3,10.13
"pc1","us-central1-a",0.11,"stine",1,10.14
